FID	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
HGDP00103	0.0147030046805	0.0029719662086	0.0140489934142	-0.0103398744872	-0.0045711001513	-0.0113910629097	-0.0071636893016	0.0020259961925	-0.0040174869910	-0.0065531113923
HGDP00938	-0.0759257105729	0.0326247085327	-0.0054566800870	-0.0050163045767	0.0780183591083	-0.0184848929817	-0.0052312464273	-0.0022690528535	-0.0008291985687	-0.0216115682821
HGDP01411	-0.0687155160610	0.0274338076880	-0.0038132753436	-0.0046564812023	0.0545108786581	-0.0104348142723	-0.0023636182518	-0.0007313038274	0.0082338815351	-0.0140295738382
HGDP01264	-0.0165531147082	-0.0254966147167	-0.0032787340997	-0.0062049652114	0.0311660406058	0.0376133764504	0.0253534981952	0.0007570883789	0.0198042519015	0.0172161851345
HGDP01276	-0.0196414656404	-0.0231423474015	-0.0030695017419	-0.0061718987839	0.0332641488365	0.0379385348957	0.0263283464143	-0.0015764238450	0.0214802284534	0.0165555095525
HGDP00612	-0.0063342158530	-0.0360412019131	-0.0011765125449	-0.0036630670232	0.0114334608705	0.0318003399300	0.0165640944509	0.0045674053482	0.0742592102934	0.0899912673451
HGDP00624	-0.0083847880699	-0.0344584610533	-0.0019411769675	-0.0040556386117	0.0118777152715	0.0299407415670	0.0176714760854	0.0006367579630	0.0601356910542	0.0728266316425
HGDP00635	-0.0088928987342	-0.0300885913587	-0.0028615338175	-0.0035968870141	0.0116884450341	0.0155392873726	0.0091126971412	0.0029160032776	0.0290966803065	0.0288600548313
HGDP00646	-0.0146387419275	-0.0275849461793	-0.0015415944650	-0.0057431155090	0.0154292940789	0.0178466037937	0.0108730494716	0.0009373258029	0.0268769613986	0.0266676747709
HGDP00558	-0.0021130770774	-0.0378082689346	-0.0032415396041	-0.0037677682156	0.0026846334270	0.0130593677818	0.0055230025875	0.0004081952760	0.0303627135901	0.0393077002618
HGDP00570	-0.0029134767018	-0.0365509176983	-0.0021391585086	-0.0034741468938	0.0020837928332	0.0183758170535	0.0049303011321	0.0012785013042	0.0237495964222	0.0326424156774
HGDP00582	-0.0024304563361	-0.0359019216093	-0.0022287429341	-0.0049859263714	0.0025052786771	0.0128744502115	0.0049456421389	0.0019385547614	0.0209082181701	0.0244533792517
HGDP00595	-0.0018999635013	-0.0370244643448	-0.0028912697838	-0.0025055636239	0.0012878513176	0.0131894615666	0.0042262041711	-0.0020627189267	0.0236705277248	0.0341451187226
HGDP00676	-0.0050728106598	-0.0333206864099	-0.0006622936395	-0.0036203068476	0.0078833456458	0.0142287135976	0.0070129488419	0.0015869810098	0.0225107914235	0.0285255991582
HGDP00688	-0.0052846083988	-0.0332058192232	-0.0014442508841	-0.0009971343653	0.0067914635652	0.0142135378919	0.0079397285688	0.0017306625219	0.0228809534503	0.0256266856583
HGDP00698	-0.0064433816549	-0.0327283818094	-0.0008384702282	-0.0047984407531	0.0068563617866	0.0162062823244	0.0084569123974	0.0015369626472	0.0190966304618	0.0213102028917
HGDP00730	-0.0052152873394	-0.0341248624246	-0.0022863098034	-0.0034062334040	0.0073972557139	0.0126902033493	0.0082721479322	0.0012022546906	0.0261807605592	0.0292822764973
HGDP00742	-0.0053268759026	-0.0334268330294	-0.0029272810344	-0.0034739208497	0.0066772356492	0.0178965470157	0.0097143254791	0.0005353682623	0.0268396625010	0.0318684356349
HGDP00013	-0.0168791836101	-0.0130200730921	0.0007238019875	0.0021477492440	0.0063130347091	-0.0316440278872	-0.0261633095211	-0.0002098505892	0.0139246244248	0.0071278728477
HGDP00037	0.0023718579884	-0.0264867334983	-0.0000320962388	0.0018857915418	-0.0108995151615	-0.0440286359000	-0.0321432786779	0.0016655959069	0.0107717201234	0.0123792817397
HGDP00060	-0.0082276033002	-0.0193147414144	-0.0005058419930	0.0039440259981	-0.0007703624234	-0.0366818463480	-0.0283318129300	-0.0005777878251	0.0118601322151	0.0144616587878
HGDP00084	0.0034892055085	-0.0263044756887	-0.0010548633343	0.0041756040413	-0.0124997354624	-0.0452317354465	-0.0353288110320	-0.0006925838778	0.0058724811128	0.0052838640653
HGDP00104	0.0110442701169	-0.0063871284157	0.0087507585826	-0.0073502539955	-0.0073992631012	-0.0183732975642	-0.0125331088942	0.0037494261698	-0.0057519528978	-0.0060362041326
HGDP00464	-0.0808675468582	0.0378803206310	-0.0064368236911	-0.0025580665285	-0.0803580021754	0.0114329033998	0.0042743675340	0.0016554146393	-0.1020721003773	0.0884718220958
